Versa Service Name,Protocol,Port,Has Palo Alto Match,Palo Alto Service(s),Palo Alto Count
cisco-fna,udp,130,No,,0
cisco-sys,tcp,132,No,,0
cisco-sys,udp,132,No,,0
cisco-tdp,tcp,711,No,,0
cisco-tdp,udp,711,No,,0
cisco-tna,tcp,131,No,,0
cisco-tna,udp,131,No,,0
citadel,tcp,504,No,,0
citadel,udp,504,No,,0
cl-1,tcp,172,No,,0
cl-1,udp,172,No,,0
cl/1,tcp,172,No,,0
cl/1,udp,172,No,,0
clearcase,tcp,371,No,,0
clearcase,udp,371,No,,0
cloanto-net-1,tcp,356,No,,0
cloanto-net-1,udp,356,No,,0
cmip-agent,tcp,164,No,,0
cmip-agent,udp,164,No,,0
cmip-man,tcp,163,No,,0
cmip-man,udp,163,No,,0
codaauth2,tcp,370,No,,0
codaauth2,udp,370,No,,0
collaborator,tcp,622,No,,0
collaborator,udp,622,No,,0
commerce,tcp,542,No,,0
commerce,udp,542,No,,0
compaq-evm,tcp,619,No,,0
compaq-evm,udp,619,No,,0
compressnet,tcp,2,No,,0
compressnet,tcp,3,No,,0
compressnet,udp,2,No,,0
compressnet,udp,3,No,,0
comsat,udp,512,No,,0
comscm,tcp,437,No,,0
comscm,udp,437,No,,0
conference,tcp,531,No,,0
conference,udp,531,No,,0
connendp,tcp,693,No,,0
connendp,udp,693,No,,0
contentserver,tcp,454,No,,0
contentserver,udp,454,No,,0
con,tcp,759,No,,0
con,udp,759,No,,0
corba-iiop-ssl,tcp,684,No,,0
corba-iiop-ssl,udp,684,No,,0
corba-iiop,tcp,683,No,,0
corba-iiop,udp,683,No,,0
corerjd,tcp,284,No,,0
corerjd,udp,284,No,,0
courier,tcp,530,No,,0
courier,udp,530,No,,0
covia,tcp,64,No,,0
covia,udp,64,No,,0
creativepartnr,tcp,455,No,,0
creativepartnr,udp,455,No,,0
creativeserver,tcp,453,No,,0
creativeserver,udp,453,No,,0
crs,tcp,507,No,,0
crs,udp,507,No,,0
cryptoadmin,tcp,624,No,,0
cryptoadmin,udp,624,No,,0
csi-sgwp,tcp,348,No,,0
csi-sgwp,udp,348,No,,0
csnet-ns,tcp,105,No,,0
csnet-ns,udp,105,No,,0
cso,tcp,105,No,,0
cso,udp,105,No,,0
ctf,tcp,84,No,,0
ctf,udp,84,No,,0
custix,tcp,528,No,,0
custix,udp,528,No,,0
cvc-hostd,tcp,442,No,,0
cvc-hostd,udp,442,No,,0
cvc_hostd,tcp,442,No,,0
cvc_hostd,udp,442,No,,0
cybercash,tcp,551,No,,0
cybercash,udp,551,No,,0
cycleserv2,tcp,772,No,,0
cycleserv2,udp,772,No,,0
cycleserv,tcp,763,No,,0
cycleserv,udp,763,No,,0
dasp,tcp,439,No,,0
dasp,udp,439,No,,0
datasurfsrvsec,tcp,462,No,,0
datasurfsrvsec,udp,462,No,,0
datasurfsrv,tcp,461,No,,0
datasurfsrv,udp,461,No,,0
datex-asn,tcp,355,No,,0
datex-asn,udp,355,No,,0
daytime,tcp,13,Yes,service-daytime,1
daytime,udp,13,No,,0
dbase,tcp,217,No,,0
dbase,udp,217,No,,0
dcp,tcp,93,No,,0
dcp,udp,93,No,,0
dctp,tcp,675,No,,0
dctp,udp,675,No,,0
ddm-dfm,tcp,447,No,,0
ddm-dfm,udp,447,No,,0
ddm-rdb,tcp,446,No,,0
ddm-rdb,udp,446,No,,0
ddm-ssl,tcp,448,No,,0
ddm-ssl,udp,448,No,,0
dec-dlm,tcp,625,No,,0
dec-dlm,udp,625,No,,0
dec_dlm,tcp,625,No,,0
dec_dlm,udp,625,No,,0
decap,tcp,403,No,,0
decap,udp,403,No,,0
decauth,tcp,316,No,,0
decauth,udp,316,No,,0
decbsrv,tcp,579,No,,0
decbsrv,udp,579,No,,0
decladebug,tcp,410,No,,0
decladebug,udp,410,No,,0
decvms-sysmgt,tcp,441,No,,0
decvms-sysmgt,udp,441,No,,0
dei-icda,tcp,618,No,,0
dei-icda,udp,618,No,,0
deos,tcp,76,No,,0
deos,udp,76,No,,0
device,tcp,801,No,,0
device,udp,801,No,,0
devshr-nts,tcp,552,No,,0
devshr-nts,udp,552,No,,0
dhcp-failover2,tcp,847,No,,0
dhcp-failover2,udp,847,No,,0
dhcp-failover,tcp,647,Yes,service-dhcp-failover,1
dhcp-failover,udp,647,Yes,service-dhcp-failover-udp,1
dhcpv6-client,tcp,546,No,,0
dhcpv6-client,udp,546,No,,0
dhcpv6-server,tcp,547,No,,0
dhcpv6-server,udp,547,No,,0
digital-vrc,tcp,466,No,,0
digital-vrc,udp,466,No,,0
direct,tcp,242,No,,0
direct,udp,242,No,,0
discard,dccp,9,No,,0
discard,sctp,9,No,,0
discard,tcp,9,Yes,service-discard,1
discard,udp,9,Yes,service-discard-udp,1
disclose,tcp,667,No,,0
disclose,udp,667,No,,0
dixie,tcp,96,No,,0
dixie,udp,96,No,,0
dls-mon,tcp,198,No,,0
dls-mon,udp,198,No,,0
dls,tcp,197,No,,0
dls,udp,197,No,,0
dn6-nlm-aud,tcp,195,No,,0
dn6-nlm-aud,udp,195,No,,0
dn6-smm-red,tcp,196,No,,0
dn6-smm-red,udp,196,No,,0
dna-cml,tcp,436,No,,0
dna-cml,udp,436,No,,0
dnsix,tcp,90,No,,0
dnsix,udp,90,No,,0
domain,tcp,53,Yes,service-dns-tcp,1
domain,udp,53,Yes,service-dns,1
doom,tcp,666,No,,0
doom,udp,666,No,,0
dpsi,tcp,315,No,,0
dpsi,udp,315,No,,0
dsETOS,tcp,378,No,,0
dsETOS,udp,378,No,,0
dsfgw,tcp,438,No,,0
dsfgw,udp,438,No,,0
dsf,tcp,555,No,,0
dsf,udp,555,No,,0
dsp3270,tcp,246,No,,0
dsp3270,udp,246,No,,0
dsp,tcp,33,No,,0
dsp,udp,33,No,,0
dtag-ste-sb,tcp,352,No,,0
dtag-ste-sb,udp,352,No,,0
dtk,tcp,365,No,,0
dtk,udp,365,No,,0
dwr,tcp,644,No,,0
dwr,udp,644,No,,0
echo,tcp,7,Yes,service-echo,1
echo,udp,7,Yes,service-echo-udp,1
efs,tcp,520,No,,0
elcsd,tcp,704,No,,0
elcsd,udp,704,No,,0
embl-ndt,tcp,394,No,,0
embl-ndt,udp,394,No,,0
emfis-cntl,tcp,141,No,,0
emfis-cntl,udp,141,No,,0
emfis-data,tcp,140,No,,0
emfis-data,udp,140,No,,0
entomb,tcp,775,No,,0
entrust-aaas,tcp,680,No,,0
entrust-aaas,udp,680,No,,0
entrust-aams,tcp,681,No,,0
entrust-aams,udp,681,No,,0
entrust-ash,tcp,710,No,,0
entrust-ash,udp,710,No,,0
entrust-kmsh,tcp,709,No,,0
entrust-kmsh,udp,709,No,,0
entrust-sps,tcp,640,No,,0
entrust-sps,udp,640,No,,0
entrusttime,tcp,309,No,,0
entrusttime,udp,309,No,,0
epmap,tcp,135,Yes,service-ms-rpc,1
epmap,udp,135,No,,0
epp,tcp,700,No,,0
epp,udp,700,No,,0
erpc,tcp,121,No,,0
erpc,udp,121,No,,0
escp-ip,tcp,621,No,,0
escp-ip,udp,621,No,,0
esro-emsdp,tcp,642,No,,0
esro-emsdp,udp,642,No,,0
esro-gen,tcp,259,No,,0
esro-gen,udp,259,No,,0
eudora-set,tcp,592,No,,0
eudora-set,udp,592,No,,0
exec,tcp,512,Yes,service-rexec,1
exp1,dccp,1021,No,,0
exp1,sctp,1021,No,,0
exp1,tcp,1021,No,,0
exp1,udp,1021,No,,0
exp2,dccp,1022,No,,0
exp2,sctp,1022,No,,0
exp2,tcp,1022,No,,0
exp2,udp,1022,No,,0
